autoc_one.site	autoc_one.country	autoc_one.mobile_rawvisits	autoc_one.mobile_visits	autoc_one.desktop_rawvisits	autoc_one.desktop_visits	autoc_one.year	autoc_one.month
driveplaza.com	999	1372	937085.1295	3903.394805	822212.9513	16	9
driveplaza.com	999	1086	796364.954	3774.452381	771061.8983	16	10
driveplaza.com	999	869	715781.7594	3456.333333	700041.3689	16	11
driveplaza.com	999	940	763245.2144	3207.975758	674990.0847	16	12
goo-net.com	999	11244	4399732.635	20305.83983	2642052.574	16	1
goo-net.com	999	10312	4032376.626	20347.60683	2928789.664	16	2
goo-net.com	999	10951	4519620.484	21116.45007	2982478.776	16	3
goo-net.com	999	10160	4556309.413	20441.22186	3030781.269	16	4
goo-net.com	999	8513	4483653.72	14487.37757	3292041.508	16	5
goo-net.com	999	4697	4124801.838	15567.45065	3358327.462	16	9
goo-net.com	999	3716	3453466.6	14686.28991	3008523.581	16	10
goo-net.com	999	3112	3248803.019	13889.62454	2834483.394	16	11
goo-net.com	999	3221	3349196.672	12534.78558	2599451.758	16	12
honda.co.jp	999	4142	2059311.353	18262.04346	2157121.69	16	1
honda.co.jp	999	3938	1984036.727	19259.92987	2424272.301	16	2
honda.co.jp	999	3817	2054184.114	19273.67086	2360653.516	16	3
honda.co.jp	999	3640	2120674.231	17913.29987	2329968.133	16	4
honda.co.jp	999	2926	2059991.676	12446.79034	2639033.661	16	5
honda.co.jp	999	1921	2226211.841	13862.56264	2744382.388	16	9
honda.co.jp	999	1384	1768434.551	12530.09437	2542237.647	16	10
honda.co.jp	999	1091	1616130.867	11671.0658	2337331.856	16	11
honda.co.jp	999	985	1473109.527	9534.412121	1965272.765	16	12
minkara.carview.co.jp	999	18185	1.00E+07	52337.54193	6665863.917	16	1
minkara.carview.co.jp	999	17020	9895572.15	50747.12094	6871890.424	16	2
minkara.carview.co.jp	999	18031	1.11E+07	56497.5047	7503982.427	16	3
minkara.carview.co.jp	999	16349	1.06E+07	50463.87359	7045952.045	16	4
minkara.carview.co.jp	999	14690	1.13E+07	37166.96393	8555054.039	16	5
minkara.carview.co.jp	999	5685	9037324.904	37483.64426	7693661.121	16	9
minkara.carview.co.jp	999	4915	8187784.821	37318.79728	7963325.599	16	10
minkara.carview.co.jp	999	4315	7927286.039	37141.51642	8062896.038	16	11
minkara.carview.co.jp	999	4935	8960357.093	34683.44633	7887351.675	16	12
response.jp	999	763	543208.9361	25705.81432	2877425.363	16	1
response.jp	999	829	620208.0536	25264.11778	3008887.046	16	2
response.jp	999	759	598387.8207	27773.88372	3213137.709	16	3
response.jp	999	675	572511.2336	24711.52343	3037245.541	16	4
response.jp	999	625	676093.5676	15187.09283	3245769.658	16	5
response.jp	999	399	822891.6834	15948.22711	3213920.606	16	9
response.jp	999	309	722786.9156	14921.51696	3078596.988	16	10
response.jp	999	342	862856.5655	14728.08917	3117217.679	16	11
response.jp	999	508	1153435.457	12924.28247	2849011.739	16	12
toyota.jp	999	7548	3230751.424	20787.58025	2514812.689	16	1
toyota.jp	999	6954	2938570.406	18813.70498	2398202.142	16	2
toyota.jp	999	5629	2552545.69	18436.22078	2244057.59	16	3
toyota.jp	999	5703	3029759.663	18808.4699	2459420.544	16	4
toyota.jp	999	4702	2872989.115	14228.47526	2982846.657	16	5
toyota.jp	999	3235	2984841.397	15079.26653	3027899.071	16	9
toyota.jp	999	2237	2472090.912	13873.07157	2758862.295	16	10
toyota.jp	999	2246	2725151.006	14761.14835	2950333.108	16	11
toyota.jp	999	2066	2609575.6	13761.04289	2875302.153	16	12
