find_in_visits.site	find_in_visits.country	find_in_visits.source	find_in_visits.site2	find_in_visits.traffic_source	find_in_visits.landingpage	find_in_visits.sendingpage	find_in_visits.user	find_in_visits.pages	find_in_visits.timestamps	find_in_visits.year	find_in_visits.month	find_in_visits.day
finanse.wp.pl	616	243	wp.pl	6	finanse.wp.pl/kat,1033781,title,Lotto-ostrzega-przed-oszustami-Organizuja-fikcyjne-konkursy,wid,18757146,wiadomosc.html?ticaid=119074	wp.pl	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["finanse.wp.pl/kat,1033781,title,Lotto-ostrzega-przed-oszustami-Organizuja-fikcyjne-konkursy,wid,18757146,wiadomosc.html?ticaid=119074","finanse.wp.pl/kat,1033781,title,Lotto-ostrzega-przed-oszustami-Organizuja-fikcyjne-konkursy,wid,18757146,wiadomosc.html?ticaid=119074","finanse.wp.pl/kat,1033767,title,Wyniki-Lotto-Superkumulacja-rozbita,wid,18756795,wiadomosc.html"]	[1493028348000,1493028354000,1493028359000]	17	4	24
opinie.wp.pl	616	243	wp.pl	6	opinie.wp.pl/francuzi-wybrali-ewolucje-emmanuel-macron-to-szansa-i-wyzwanie-dla-polski-6115281734289025a	wp.pl	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["opinie.wp.pl/francuzi-wybrali-ewolucje-emmanuel-macron-to-szansa-i-wyzwanie-dla-polski-6115281734289025a"]	[1493028300000]	17	4	24
bilion.com.pl	616	243	kozak-diamonds.pl	5	bilion.com.pl	kozak-diamonds.pl	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["bilion.com.pl"]	[1493026989000]	17	4	24
wp.pl*	616	243	kozak-diamonds.pl	5	wp.pl	kozak-diamonds.pl	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["wp.pl","sportowefakty.wp.pl/zuzel/682628/dobre-wiesci-ze-szpitala-w-bydgoszczy-tomasz-gollob-we-wtorek-ma-byc-wybudzany","wp.pl","wp.pl","wp.pl","wp.pl","wp.pl","wp.pl","wp.pl","wp.pl"]	[1493049946000,1493049962000,1493049989000,1493050082000,1493050563000,1493050615000,1493050757000,1493050839000,1493051001000,1493051229000]	17	4	24
wp.pl	616	243	kozak-diamonds.pl	5	wp.pl	kozak-diamonds.pl	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["wp.pl","wp.pl","wp.pl","wp.pl","wp.pl","wp.pl","wp.pl","wp.pl","wp.pl"]	[1493049946000,1493049989000,1493050082000,1493050563000,1493050615000,1493050757000,1493050839000,1493051001000,1493051229000]	17	4	24
google.pl*	616	243	bilion.com.pl	5	google.pl/search?client=opera&q=opodatkowanie+us%C5%82ug+jubilerskich&sourceid=opera&ie=UTF-8&oe=UTF-8	bilion.com.pl	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["google.pl/search?client=opera&q=opodatkowanie+us%C5%82ug+jubilerskich&sourceid=opera&ie=UTF-8&oe=UTF-8","google.pl/search?client=opera&q=stawki+podatku+dochodowego+przy+rycza%C5%82cie+od+przychod%C3%B3w+ewidencjonowanych+wynosz%C4%85&sourceid=opera&ie=UTF-8&oe=UTF-8","google.pl/search?client=opera&q=stawki+podatku+od+wycen&sourceid=opera&ie=UTF-8&oe=UTF-8","google.pl/search?client=opera&q=stawki+podatku+od+wycen&sourceid=opera&ie=UTF-8&oe=UTF-8","google.pl/search?client=opera&q=stawki+podatku+od+wycen&sourceid=opera&ie=UTF-8&oe=UTF-8#q=stawki+podatku+od+us%C5%82ug+wycen","google.pl/search?client=opera&q=stawki+podatku+od+wycen&sourceid=opera&ie=UTF-8&oe=UTF-8#q=stawki+podatku+od+us%C5%82ug+wycen","google.pl/search?client=opera&q=stawki+podatku+od+wycen&sourceid=opera&ie=UTF-8&oe=UTF-8#q=stawki+podatku+od+us%C5%82ug+wycen","google.pl/search?client=opera&q=stawki+podatku+od+wycen&sourceid=opera&ie=UTF-8&oe=UTF-8#q=stawki+podatku+dochodowego++od+us%C5%82ug+wycen","google.pl/search?client=opera&q=stawki+podatku+od+wycen&sourceid=opera&ie=UTF-8&oe=UTF-8#q=stawki+podatku+dochodowego++od+us%C5%82ug+wycen","google.pl/search?client=opera&q=stawki+podatku+od+wycen&sourceid=opera&ie=UTF-8&oe=UTF-8#q=stawki+podatku+dochodowego++od+us%C5%82ug+wycen"]	[1493031098000,1493031376000,1493032395000,1493032453000,1493032482000,1493032574000,1493032625000,1493032651000,1493033052000,1493033375000]	17	4	24
google.pl	616	243	bilion.com.pl	5	google.pl/search?client=opera&q=opodatkowanie+us%C5%82ug+jubilerskich&sourceid=opera&ie=UTF-8&oe=UTF-8	bilion.com.pl	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["google.pl/search?client=opera&q=opodatkowanie+us%C5%82ug+jubilerskich&sourceid=opera&ie=UTF-8&oe=UTF-8","google.pl/search?client=opera&q=stawki+podatku+dochodowego+przy+rycza%C5%82cie+od+przychod%C3%B3w+ewidencjonowanych+wynosz%C4%85&sourceid=opera&ie=UTF-8&oe=UTF-8","google.pl/search?client=opera&q=stawki+podatku+od+wycen&sourceid=opera&ie=UTF-8&oe=UTF-8","google.pl/search?client=opera&q=stawki+podatku+od+wycen&sourceid=opera&ie=UTF-8&oe=UTF-8","google.pl/search?client=opera&q=stawki+podatku+od+wycen&sourceid=opera&ie=UTF-8&oe=UTF-8#q=stawki+podatku+od+us%C5%82ug+wycen","google.pl/search?client=opera&q=stawki+podatku+od+wycen&sourceid=opera&ie=UTF-8&oe=UTF-8#q=stawki+podatku+od+us%C5%82ug+wycen","google.pl/search?client=opera&q=stawki+podatku+od+wycen&sourceid=opera&ie=UTF-8&oe=UTF-8#q=stawki+podatku+od+us%C5%82ug+wycen","google.pl/search?client=opera&q=stawki+podatku+od+wycen&sourceid=opera&ie=UTF-8&oe=UTF-8#q=stawki+podatku+dochodowego++od+us%C5%82ug+wycen","google.pl/search?client=opera&q=stawki+podatku+od+wycen&sourceid=opera&ie=UTF-8&oe=UTF-8#q=stawki+podatku+dochodowego++od+us%C5%82ug+wycen","google.pl/search?client=opera&q=stawki+podatku+od+wycen&sourceid=opera&ie=UTF-8&oe=UTF-8#q=stawki+podatku+dochodowego++od+us%C5%82ug+wycen"]	[1493031098000,1493031376000,1493032395000,1493032453000,1493032482000,1493032574000,1493032625000,1493032651000,1493033052000,1493033375000]	17	4	24
moc.oocl.com#	616	243	shippingline.org	6	moc.oocl.com/party/cargotracking/ct_search_from_other_domain.jsf?ANONYMOUS_BEHAVIOR=BUILD_UP&domainName=PARTY_DOMAIN&ENTRY_TYPE=OOCL&ENTRY=MCC&ctSearchType=BL&ctShipmentNumber=2585076440	shippingline.org/track/?container=2585076440&line=oocl&type=bill	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["moc.oocl.com/party/cargotracking/ct_search_from_other_domain.jsf?ANONYMOUS_BEHAVIOR=BUILD_UP&domainName=PARTY_DOMAIN&ENTRY_TYPE=OOCL&ENTRY=MCC&ctSearchType=BL&ctShipmentNumber=2585076440","moc.oocl.com/party/cargotracking/ct_search_from_other_domain.jsf;jsessionid=8e7aea3d6b695a7ca388e773f3002d5213bfb9a22d8a9a8e24c522bf297a5117.e38NbxiLa3qOci0Oa3eQahmTaO0?ANONYMOUS_TOKEN=TVNHqJQdfukznrYOAFEbMCCOOCL&ENTRY=MCC&ENTRY_TYPE=OOCL&PREFER_LANGUAGE=en-US"]	[1493049734000,1493049758000]	17	4	24
sportowefakty.wp.pl#	616	243	wp.pl	6	sportowefakty.wp.pl/zuzel/682628/dobre-wiesci-ze-szpitala-w-bydgoszczy-tomasz-gollob-we-wtorek-ma-byc-wybudzany	wp.pl	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["sportowefakty.wp.pl/zuzel/682628/dobre-wiesci-ze-szpitala-w-bydgoszczy-tomasz-gollob-we-wtorek-ma-byc-wybudzany"]	[1493049962000]	17	4	24
kitco.com*	616	243	kozak-diamonds.pl	5	kitco.com	kozak-diamonds.pl	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["kitco.com"]	[1493026985000]	17	4	24
kitco.com	616	243	kozak-diamonds.pl	5	kitco.com	kozak-diamonds.pl	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["kitco.com"]	[1493026985000]	17	4	24
autokult.pl*	616	243	wp.pl	6	autokult.pl/29598,ile-naprawde-pala-benzynowe-samochody-hybrydowe	wp.pl	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["autokult.pl/29598,ile-naprawde-pala-benzynowe-samochody-hybrydowe","autokult.pl/29598,ile-naprawde-pala-benzynowe-samochody-hybrydowe,2","autokult.pl/29598,ile-naprawde-pala-benzynowe-samochody-hybrydowe"]	[1493030336000,1493030369000,1493030492000]	17	4	24
autokult.pl	616	243	wp.pl	6	autokult.pl/29598,ile-naprawde-pala-benzynowe-samochody-hybrydowe	wp.pl	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["autokult.pl/29598,ile-naprawde-pala-benzynowe-samochody-hybrydowe","autokult.pl/29598,ile-naprawde-pala-benzynowe-samochody-hybrydowe,2","autokult.pl/29598,ile-naprawde-pala-benzynowe-samochody-hybrydowe"]	[1493030336000,1493030369000,1493030492000]	17	4	24
wawalove.pl*	616	243	sportowefakty.wp.pl	6	wawalove.pl/Spiewak-rusza-z-nowym-projektem-politycznym-Wystawimy-kandydata-na-prezydenta-a26107	sportowefakty.wp.pl/tenis/682497/kolejna-osoba-atakuje-agnieszke-radwanska-to-zawisc	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["wawalove.pl/Spiewak-rusza-z-nowym-projektem-politycznym-Wystawimy-kandydata-na-prezydenta-a26107"]	[1493029895000]	17	4	24
wawalove.pl	616	243	sportowefakty.wp.pl	6	wawalove.pl/Spiewak-rusza-z-nowym-projektem-politycznym-Wystawimy-kandydata-na-prezydenta-a26107	sportowefakty.wp.pl/tenis/682497/kolejna-osoba-atakuje-agnieszke-radwanska-to-zawisc	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["wawalove.pl/Spiewak-rusza-z-nowym-projektem-politycznym-Wystawimy-kandydata-na-prezydenta-a26107"]	[1493029895000]	17	4	24
money.pl*	616	243	wp.pl	6	money.pl/gospodarka/wiadomosci/artykul/rachunki-energie-elektryczna-liczniki,14,0,2304014.html	wp.pl	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["money.pl/gospodarka/wiadomosci/artykul/rachunki-energie-elektryczna-liczniki,14,0,2304014.html"]	[1493030073000]	17	4	24
money.pl	616	243	wp.pl	6	money.pl/gospodarka/wiadomosci/artykul/rachunki-energie-elektryczna-liczniki,14,0,2304014.html	wp.pl	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["money.pl/gospodarka/wiadomosci/artykul/rachunki-energie-elektryczna-liczniki,14,0,2304014.html"]	[1493030073000]	17	4	24
sportowefakty.wp.pl	616	243	kitco.com	5	sportowefakty.wp.pl/zuzel/682524/profesor-harat-o-gollobie-to-jest-stan-zagrozenia-zycia	kitco.com	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["sportowefakty.wp.pl/zuzel/682524/profesor-harat-o-gollobie-to-jest-stan-zagrozenia-zycia","sportowefakty.wp.pl/tenis/682497/kolejna-osoba-atakuje-agnieszke-radwanska-to-zawisc"]	[1493028234000,1493029851000]	17	4	24
wp.pl*	616	243	kozak-diamonds.pl	5	wp.pl	kozak-diamonds.pl	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["wp.pl","sportowefakty.wp.pl/zuzel/682524/profesor-harat-o-gollobie-to-jest-stan-zagrozenia-zycia","wp.pl","opinie.wp.pl/francuzi-wybrali-ewolucje-emmanuel-macron-to-szansa-i-wyzwanie-dla-polski-6115281734289025a","wp.pl","finanse.wp.pl/kat,1033781,title,Lotto-ostrzega-przed-oszustami-Organizuja-fikcyjne-konkursy,wid,18757146,wiadomosc.html?ticaid=119074","wp.pl","finanse.wp.pl/kat,1033781,title,Lotto-ostrzega-przed-oszustami-Organizuja-fikcyjne-konkursy,wid,18757146,wiadomosc.html?ticaid=119074","finanse.wp.pl/kat,1033767,title,Wyniki-Lotto-Superkumulacja-rozbita,wid,18756795,wiadomosc.html","wp.pl","film.wp.pl/anoreksja-depresja-i-choroba-alkoholowa-sandra-dee-za-slawe-zaplacila-bardzo-wysoka-cene-6114393445734529a","wp.pl","sportowefakty.wp.pl/tenis/682497/kolejna-osoba-atakuje-agnieszke-radwanska-to-zawisc","wp.pl","wp.pl"]	[1493027415000,1493028234000,1493028293000,1493028300000,1493028340000,1493028348000,1493028351000,1493028354000,1493028359000,1493028372000,1493028399000,1493029680000,1493029851000,1493030013000,1493030248000]	17	4	24
wp.pl	616	243	kozak-diamonds.pl	5	wp.pl	kozak-diamonds.pl	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["wp.pl","wp.pl","wp.pl","wp.pl","wp.pl","wp.pl","wp.pl","wp.pl"]	[1493027415000,1493028293000,1493028340000,1493028351000,1493028372000,1493029680000,1493030013000,1493030248000]	17	4	24
opinie.wp.pl#	616	243	wp.pl	6	opinie.wp.pl/francuzi-wybrali-ewolucje-emmanuel-macron-to-szansa-i-wyzwanie-dla-polski-6115281734289025a	wp.pl	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["opinie.wp.pl/francuzi-wybrali-ewolucje-emmanuel-macron-to-szansa-i-wyzwanie-dla-polski-6115281734289025a"]	[1493028300000]	17	4	24
finanse.wp.pl#	616	243	wp.pl	6	finanse.wp.pl/kat,1033781,title,Lotto-ostrzega-przed-oszustami-Organizuja-fikcyjne-konkursy,wid,18757146,wiadomosc.html?ticaid=119074	wp.pl	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["finanse.wp.pl/kat,1033781,title,Lotto-ostrzega-przed-oszustami-Organizuja-fikcyjne-konkursy,wid,18757146,wiadomosc.html?ticaid=119074","finanse.wp.pl/kat,1033781,title,Lotto-ostrzega-przed-oszustami-Organizuja-fikcyjne-konkursy,wid,18757146,wiadomosc.html?ticaid=119074","finanse.wp.pl/kat,1033767,title,Wyniki-Lotto-Superkumulacja-rozbita,wid,18756795,wiadomosc.html"]	[1493028348000,1493028354000,1493028359000]	17	4	24
film.wp.pl#	616	243	wp.pl	6	film.wp.pl/anoreksja-depresja-i-choroba-alkoholowa-sandra-dee-za-slawe-zaplacila-bardzo-wysoka-cene-6114393445734529a	wp.pl	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["film.wp.pl/anoreksja-depresja-i-choroba-alkoholowa-sandra-dee-za-slawe-zaplacila-bardzo-wysoka-cene-6114393445734529a"]	[1493028399000]	17	4	24
sportowefakty.wp.pl#	616	243	kitco.com	5	sportowefakty.wp.pl/zuzel/682524/profesor-harat-o-gollobie-to-jest-stan-zagrozenia-zycia	kitco.com	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["sportowefakty.wp.pl/zuzel/682524/profesor-harat-o-gollobie-to-jest-stan-zagrozenia-zycia","sportowefakty.wp.pl/tenis/682497/kolejna-osoba-atakuje-agnieszke-radwanska-to-zawisc"]	[1493028234000,1493029851000]	17	4	24
ksiegowosc.infor.pl#	616	243	google.pl	1160	ksiegowosc.infor.pl/podatki/ryczalt/karta-podatkowa/225529,Zakres-uslug-jubilerskich-i-grawerskich-opodatkowanych-karta-podatkowa.html	google.pl/search?client=opera&q=opodatkowanie+us%C5%82ug+jubilerskich&sourceid=opera&ie=UTF-8&oe=UTF-8	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["ksiegowosc.infor.pl/podatki/ryczalt/karta-podatkowa/225529,Zakres-uslug-jubilerskich-i-grawerskich-opodatkowanych-karta-podatkowa.html"]	[1493031105000]	17	4	24
wskazniki.gofin.pl#	616	243	google.pl	1160	wskazniki.gofin.pl/8,97,2,ryczalt-od-przychodow-ewidencjonowanych.html	google.pl/search?client=opera&q=stawki+podatku+dochodowego+przy+rycza%C5%82cie+od+przychod%C3%B3w+ewidencjonowanych+wynosz%C4%85&sourceid=opera&ie=UTF-8&oe=UTF-8	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["wskazniki.gofin.pl/8,97,2,ryczalt-od-przychodow-ewidencjonowanych.html"]	[1493031395000]	17	4	24
klasyfikacje.gofin.pl#	616	243	google.pl	1160	klasyfikacje.gofin.pl/pkwiu/1,2,7369,uslugi-zwiazane-z-obsluga-rynku-nieruchomosci.html	google.pl/search?client=opera&q=stawki+podatku+od+wycen&sourceid=opera&ie=UTF-8&oe=UTF-8#q=stawki+podatku+od+us%C5%82ug+wycen	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["klasyfikacje.gofin.pl/pkwiu/1,2,7369,uslugi-zwiazane-z-obsluga-rynku-nieruchomosci.html"]	[1493032597000]	17	4	24
finanse.mf.gov.pl#	616	243	google.pl	1160	finanse.mf.gov.pl/pit/stawki-podatkowe	google.pl/search?client=opera&q=stawki+podatku+od+wycen&sourceid=opera&ie=UTF-8&oe=UTF-8#q=stawki+podatku+dochodowego++od+us%C5%82ug+wycen	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["finanse.mf.gov.pl/pit/stawki-podatkowe"]	[1493032668000]	17	4	24
cinkciarz.pl	616	243	kozak-diamonds.pl	5	cinkciarz.pl	kozak-diamonds.pl	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["cinkciarz.pl"]	[1493049550000]	17	4	24
wp.pl*	616	243	kozak-diamonds.pl	5	wp.pl	kozak-diamonds.pl	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["wp.pl"]	[1493054476000]	17	4	24
groupecat.pl*	616	243	google.pl	1160	groupecat.pl/logistyka-magazynowa	google.pl/search?client=opera&q=system+aeo&sourceid=opera&ie=UTF-8&oe=UTF-8#q=magazyny+cat	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["groupecat.pl/logistyka-magazynowa"]	[1493054076000]	17	4	24
piekarnie.pl*	616	243	google.pl	1160	piekarnie.pl/info.php?page=art_haccp&text=0	google.pl/search?client=opera&q=haccap+a+iso&sourceid=opera&ie=UTF-8&oe=UTF-8#q=krytyczne+punkty+kontroli+w+piekarni	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["piekarnie.pl/info.php?page=art_haccp&text=0"]	[1493053067000]	17	4	24
msmediagra.gov.in*	616	243	google.pl	1160	msmediagra.gov.in/writereaddata/iso9frm.pdf	google.pl/search?client=opera&q=iso+a+haccap&sourceid=opera&ie=UTF-8&oe=UTF-8#q=iso+14001+a+haccap	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["msmediagra.gov.in/writereaddata/iso9frm.pdf"]	[1493052804000]	17	4	24
goldenline.pl*	616	243	google.pl	1160	goldenline.pl/grupy/Przedsiebiorcy_biznesmeni/jakosc/czy-iso-22000-haccp,1941488	google.pl/search?client=opera&q=iso+a+haccap&sourceid=opera&ie=UTF-8&oe=UTF-8	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["goldenline.pl/grupy/Przedsiebiorcy_biznesmeni/jakosc/czy-iso-22000-haccp,1941488"]	[1493052648000]	17	4	24
google.pl*	616	243	kitco.com	5	google.pl/search?client=opera&q=iso+a+haccap&sourceid=opera&ie=UTF-8&oe=UTF-8	kitco.com	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["google.pl/search?client=opera&q=iso+a+haccap&sourceid=opera&ie=UTF-8&oe=UTF-8","google.pl/search?client=opera&q=iso+a+haccap&sourceid=opera&ie=UTF-8&oe=UTF-8","google.pl/search?client=opera&q=iso+a+haccap&sourceid=opera&ie=UTF-8&oe=UTF-8#q=iso+14001+a+haccap","google.pl/search?client=opera&q=haccap+a+iso&sourceid=opera&ie=UTF-8&oe=UTF-8","google.pl/search?client=opera&q=haccap+a+iso&sourceid=opera&ie=UTF-8&oe=UTF-8#q=7+zasad+haccp","google.pl/search?client=opera&q=haccap+a+iso&sourceid=opera&ie=UTF-8&oe=UTF-8#q=krytyczne+punkty+kontroli+haccp+przyk%C5%82ady","google.pl/search?client=opera&q=haccap+a+iso&sourceid=opera&ie=UTF-8&oe=UTF-8#q=krytyczne+punkty+kontroli+w+piekarni","google.pl/search?client=opera&q=haccap+a+iso&sourceid=opera&ie=UTF-8&oe=UTF-8#q=krytyczne+punkty+kontroli+w+piekarni","google.pl/search?client=opera&q=system+aeo&sourceid=opera&ie=UTF-8&oe=UTF-8","google.pl/search?client=opera&q=system+aeo&sourceid=opera&ie=UTF-8&oe=UTF-8#q=system+sqas","google.pl/search?client=opera&q=system+aeo&sourceid=opera&ie=UTF-8&oe=UTF-8#q=magazyny+cat"]	[1493052593000,1493052744000,1493052756000,1493052907000,1493052951000,1493053006000,1493053038000,1493053444000,1493053904000,1493053928000,1493054064000]	17	4	24
kitco.com*	616	243	cinkciarz.pl	5	kitco.com	cinkciarz.pl	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["kitco.com"]	[1493052589000]	17	4	24
komorkomania.pl*	616	243	wp.pl	6	komorkomania.pl/34535,samsung-galaxy-j3-2017-specyfikacja	wp.pl	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["komorkomania.pl/34535,samsung-galaxy-j3-2017-specyfikacja"]	[1493051042000]	17	4	24
autokult.pl*	616	243	wp.pl	6	autokult.pl/29600,manualne-przekladnie-w-przyszlych-bmw-m-nie-jestem-pewien	wp.pl	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["autokult.pl/29600,manualne-przekladnie-w-przyszlych-bmw-m-nie-jestem-pewien","autokult.pl/29597,samochodem-przez-pustynie-namib-przygotowania-czesc-2"]	[1493050844000,1493050996000]	17	4	24
wawalove.pl*	616	243	wp.pl	6	wawalove.pl/Brutalna-bojka-mlodziezy-z-ochrona-sklepu-Zatrzymano-5-osob-a26111	wp.pl	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["wawalove.pl/Brutalna-bojka-mlodziezy-z-ochrona-sklepu-Zatrzymano-5-osob-a26111"]	[1493050575000]	17	4	24
money.pl*	616	243	wp.pl	6	money.pl/gospodarka/wiadomosci/artykul/ceny-gazu-gazoport-katar-gaz-skroplony,48,0,2305328.html	wp.pl	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["money.pl/gospodarka/wiadomosci/artykul/ceny-gazu-gazoport-katar-gaz-skroplony,48,0,2305328.html","money.pl/gospodarka/wiadomosci/artykul/elektrocieplownia-gazowa-torun,32,0,2304288.html","money.pl/gielda/wiadomosci/artykul/reforma-podatkowa-donalda-trumpa-wall-street,194,0,2304706.html"]	[1493050488000,1493050637000,1493050781000]	17	4	24
