dailydata.site	dailydata.country	dailydata.platform	dailydata.rawvisits	dailydata.estimatedvisits	dailydata.year	dailydata.month	dailydata.day
lookfantastic.com*	826	mobile	9.0	40613.700505073975	17	2	1
lookfantastic.com*	826	mobile	5.0	25082.912556529358	17	2	14
lookfantastic.com*	826	mobile	5.0	22237.95180089676	17	1	13
lookfantastic.com*	826	mobile	6.0	29265.38842532344	17	2	15
lookfantastic.com*	826	mobile	9.0	41431.9155482659	17	2	16
lookfantastic.com*	826	mobile	7.0	29962.55957598652	17	1	12
lookfantastic.com*	826	mobile	9.0	42921.680070995324	17	1	30
lookfantastic.com*	826	mobile	5.0	23315.412956070668	17	1	10
lookfantastic.com*	826	mobile	5.0	23335.60181985263	17	1	17
lookfantastic.com*	826	mobile	3.0	17522.043094820656	17	2	20
lookfantastic.com*	826	mobile	6.0	26975.15018933195	17	1	16
lookfantastic.com*	826	mobile	1.0	13058.268889032792	17	2	21
lookfantastic.com*	826	mobile	3.0	35536.36691083807	17	4	8
lookfantastic.com*	826	mobile	7.0	32283.84003338644	17	1	15
lookfantastic.com*	826	mobile	10.0	46112.13379026103	17	2	24
lookfantastic.com*	826	mobile	3.0	16370.366071580782	17	1	7
lookfantastic.com*	826	mobile	7.0	34450.26045536336	17	1	24
lookfantastic.com*	826	mobile	5.0	26227.99249086313	17	2	25
lookfantastic.com*	826	mobile	8.0	39639.74586563805	17	1	23
lookfantastic.com*	826	mobile	4.0	22622.705099078965	17	1	25
lookfantastic.com*	826	mobile	5.0	47641.14473968754	17	2	26
lookfantastic.com*	826	mobile	6.0	28384.412828826353	17	1	19
lookfantastic.com*	826	mobile	5.0	47624.16881033871	17	3	1
lookfantastic.com*	826	mobile	14.0	79757.30914392488	17	1	18
lookfantastic.com*	826	mobile	3.0	17352.57105605733	17	1	26
lookfantastic.com*	826	mobile	6.0	28890.952752627396	17	1	6
lookfantastic.com*	826	mobile	4.0	33054.618553775676	17	1	20
lookfantastic.com*	826	mobile	4.0	44548.4598097749	17	4	11
lookfantastic.com*	826	mobile	5.0	26896.13615487018	17	3	2
lookfantastic.com*	826	mobile	4.0	20876.35124355716	17	1	21
lookfantastic.com*	826	mobile	4.0	22021.013951604175	17	3	3
lookfantastic.com*	826	mobile	6.0	30178.0593414707	17	1	28
lookfantastic.com*	826	mobile	5.0	23712.065091821954	17	1	5
lookfantastic.com*	826	mobile	5.0	23162.61643076308	17	1	4
lookfantastic.com*	826	mobile	4.0	25425.679051914547	17	4	13
lookfantastic.com*	826	mobile	3.0	18080.958775077965	17	3	9
lookfantastic.com*	826	mobile	5.0	26939.25555838839	17	3	12
lookfantastic.com*	826	mobile	10.0	48935.54192745783	17	3	14
lookfantastic.com*	826	mobile	5.0	25402.436579152225	17	6	13
lookfantastic.com*	826	mobile	5.0	43032.76454798967	17	3	15
lookfantastic.com*	826	mobile	5.0	26566.004848716926	17	6	14
lookfantastic.com*	826	mobile	3.0	21431.356614706085	17	4	15
lookfantastic.com*	826	mobile	8.0	38417.59082899813	17	6	15
lookfantastic.com*	826	mobile	7.0	34050.380992332735	17	6	9
lookfantastic.com*	826	mobile	8.0	36447.17880293264	17	1	1
lookfantastic.com*	826	mobile	5.0	27327.081748677843	17	6	23
lookfantastic.com*	826	mobile	3.0	17620.846442186634	17	6	18
lookfantastic.com*	826	mobile	3.0	21610.698609240593	17	4	16
lookfantastic.com*	826	mobile	6.0	61866.66777757513	17	4	17
lookfantastic.com*	826	mobile	4.0	23071.567001393374	17	6	24
lookfantastic.com*	826	mobile	4.0	25904.338006881855	17	4	18
lookfantastic.com*	826	mobile	5.0	25989.726079770382	17	6	19
lookfantastic.com*	826	mobile	5.0	31374.567143309014	17	4	19
lookfantastic.com*	826	mobile	3.0	18099.23718934717	17	6	25
lookfantastic.com*	826	mobile	2.0	21063.787679108347	17	4	20
lookfantastic.com*	826	mobile	3.0	15958.759095740343	17	6	21
lookfantastic.com*	826	mobile	2.0	16072.912882153334	17	4	21
lookfantastic.com*	826	mobile	1.0	16254.307323219102	17	4	25
lookfantastic.com*	826	mobile	3.0	21850.31842922453	17	4	24
lookfantastic.com*	826	mobile	1.0	16131.908293141316	17	4	26
lookfantastic.com*	826	mobile	2.0	16734.229993143053	17	4	23
lookfantastic.com*	826	mobile	1.0	16586.361456503128	17	4	22
lookfantastic.com*	826	mobile	5.0	26745.795918154054	17	6	26
lookfantastic.com*	826	mobile	2.0	13886.721847680086	17	6	27
lookfantastic.com*	826	mobile	3.0	20973.739660079267	17	5	1
lookfantastic.com*	826	mobile	3.0	17431.23508839671	17	6	5
lookfantastic.com*	826	mobile	2.0	15910.635148875035	17	5	3
lookfantastic.com*	826	mobile	6.0	39616.44327186525	17	5	5
lookfantastic.com*	826	mobile	5.0	42267.20391845624	17	3	30
lookfantastic.com*	826	mobile	6.0	42249.980054090105	17	5	7
lookfantastic.com*	826	mobile	7.0	49576.1493610214	17	5	8
lookfantastic.com*	826	mobile	2.0	22160.252893893405	17	6	3
lookfantastic.com*	826	mobile	2.0	14764.45614737896	17	4	4
lookfantastic.com*	826	mobile	2.0	24778.68000890117	17	4	5
lookfantastic.com*	826	mobile	7.0	35223.9326253607	17	3	22
lookfantastic.com*	826	mobile	6.0	53032.292164053855	17	4	6
lookfantastic.com*	826	mobile	5.0	43623.08390153421	17	3	23
lookfantastic.com*	826	mobile	0.0	4965.7793876830365	17	4	7
lookfantastic.com*	826	mobile	2.0	22984.79786486996	17	3	24
lookfantastic.com*	826	mobile	5.0	41689.81613093174	17	3	25
lookfantastic.com*	826	mobile	4.0	41822.82779444732	17	3	26
lookfantastic.com*	826	mobile	3.0	20519.169504911126	17	4	9
lookfantastic.com*	826	mobile	2.0	24223.73312568027	17	4	10
lookfantastic.com*	826	mobile	2.0	24836.658072261373	17	4	12
lookfantastic.com*	826	mobile	1.0	15396.77020004804	17	4	14
lookfantastic.com*	826	mobile	2.0	21455.958492488156	17	6	10
lookfantastic.com*	826	mobile	12.0	56135.62270396167	17	6	11
lookfantastic.com*	826	mobile	7.0	33792.66999523989	17	6	12
lookfantastic.com*	826	mobile	5.0	27022.039690333408	17	6	16
lookfantastic.com*	826	mobile	4.0	22574.973649685682	17	6	17
lookfantastic.com*	826	mobile	2.0	21042.78889307899	17	6	8
lookfantastic.com*	826	mobile	4.0	21451.835118214975	17	6	7
lookfantastic.com*	826	mobile	2.0	13636.293727015876	17	6	20
lookfantastic.com*	826	mobile	2.0	20026.96819876242	17	6	22
lookfantastic.com*	826	mobile	4.0	27189.323894289017	17	4	27
lookfantastic.com*	826	mobile	1.0	16640.80746383277	17	4	28
lookfantastic.com*	826	mobile	3.0	17113.051215266147	17	6	6
lookfantastic.com*	826	mobile	3.0	16212.82876846383	17	6	28
lookfantastic.com*	826	mobile	4.0	27596.00349671499	17	4	29
lookfantastic.com*	826	mobile	2.0	20201.481317024325	17	6	29
lookfantastic.com*	826	mobile	1.0	16553.826173859943	17	4	30
lookfantastic.com*	826	mobile	2.0	26232.77440244232	17	5	2
lookfantastic.com*	826	mobile	6.0	38075.193731988045	17	5	4
lookfantastic.com*	826	mobile	3.0	17440.91724828688	17	6	4
lookfantastic.com*	826	mobile	2.0	28520.457723305604	17	5	6
lookfantastic.com*	826	mobile	2.0	18260.932014382568	17	5	9
lookfantastic.com*	826	mobile	4.0	31277.935828344718	17	5	10
lookfantastic.com*	999	mobile	15.0	75267.45427428311	17	3	30
lookfantastic.com*	999	mobile	18.0	90412.19422500892	17	3	31
lookfantastic.com*	999	mobile	14.0	64550.64570381729	17	4	1
lookfantastic.com*	999	mobile	16.0	64964.829821264284	17	4	2
lookfantastic.com*	999	mobile	15.0	89335.32830807919	17	4	3
lookfantastic.com*	999	mobile	16.0	85707.31636978782	17	4	4
lookfantastic.com*	999	mobile	12.0	61399.62274178617	17	4	5
lookfantastic.com*	999	mobile	13.0	86685.4772681249	17	4	6
lookfantastic.com*	999	mobile	11.0	48195.95313927141	17	4	7
lookfantastic.com*	999	mobile	13.0	82674.30444251155	17	4	8
lookfantastic.com*	999	mobile	22.0	63043.07194926038	17	4	9
lookfantastic.com*	999	mobile	19.0	85767.45095262924	17	4	10
lookfantastic.com*	999	mobile	25.0	108013.07605270768	17	4	11
lookfantastic.com*	999	mobile	19.0	84308.78903366518	17	4	12
lookfantastic.com*	999	mobile	22.0	78449.28418215553	17	4	13
lookfantastic.com*	999	mobile	14.0	63103.43048865178	17	4	14
lookfantastic.com*	999	mobile	18.0	73354.87106676126	17	4	15
lookfantastic.com*	999	mobile	14.0	81457.51906023316	17	4	16
lookfantastic.com*	999	mobile	15.0	112837.21729491954	17	4	17
lookfantastic.com*	999	mobile	18.0	77010.86112198942	17	4	18
lookfantastic.com*	999	mobile	26.0	94267.67547373037	17	4	19
lookfantastic.com*	999	mobile	17.0	72309.69775894925	17	4	20
lookfantastic.com*	999	mobile	14.0	54325.97345063023	17	4	21
lookfantastic.com*	999	mobile	16.0	56425.556740150016	17	4	22
lookfantastic.com*	999	mobile	24.0	108363.12029908269	17	4	23
lookfantastic.com*	999	mobile	27.0	77691.54384212614	17	4	24
lookfantastic.com*	999	mobile	12.0	64374.86152254827	17	4	25
lookfantastic.com*	999	mobile	13.0	72973.6687684056	17	4	26
lookfantastic.com*	999	mobile	15.0	78907.2095836829	17	4	27
lookfantastic.com*	999	mobile	26.0	70582.5381662419	17	4	28
lookfantastic.com*	999	mobile	18.0	120735.34607352663	17	4	29
lookfantastic.com*	999	mobile	10.0	66427.00149403066	17	4	30
lookfantastic.com*	999	mobile	25.0	85452.96010269957	17	5	1
lookfantastic.com*	999	mobile	16.0	90565.31581601233	17	5	2
lookfantastic.com*	999	mobile	14.0	68452.89518485466	17	5	3
lookfantastic.com*	999	mobile	14.0	76351.6057013793	17	5	4
lookfantastic.com*	999	mobile	23.0	102328.87549018196	17	5	5
lookfantastic.com*	999	mobile	21.0	109268.4387848688	17	5	6
lookfantastic.com*	999	mobile	17.0	101423.01334371718	17	5	7
lookfantastic.com*	999	mobile	20.0	139193.94525652356	17	5	8
lookfantastic.com*	999	mobile	18.0	89215.20962867545	17	5	9
lookfantastic.com*	999	mobile	11.0	80830.08767651067	17	5	10
lookfantastic.com*	999	mobile	10.0	66113.2153102071	17	5	11
lookfantastic.com*	999	mobile	16.0	71935.96884517382	17	5	12
lookfantastic.com*	999	mobile	13.0	63637.85967915077	17	5	13
lookfantastic.com*	999	mobile	16.0	66916.73475846407	17	5	14
lookfantastic.com*	999	mobile	6.0	55174.14840280639	17	5	15
lookfantastic.com*	999	mobile	15.0	70842.7569490086	17	5	16
lookfantastic.com*	999	mobile	13.0	91364.52096743882	17	5	17
lookfantastic.com*	999	mobile	12.0	80434.25323009926	17	5	18
lookfantastic.com*	999	mobile	16.0	67812.44721562689	17	5	19
lookfantastic.com*	999	mobile	10.0	53310.51545439495	17	5	20
lookfantastic.com*	999	mobile	9.0	54266.136664608806	17	5	21
lookfantastic.com*	999	mobile	13.0	74371.20624300392	17	5	22
lookfantastic.com*	999	mobile	13.0	68978.6339615498	17	5	23
lookfantastic.com*	999	mobile	17.0	59626.32057283326	17	5	24
lookfantastic.com*	999	mobile	20.0	108241.50677650669	17	5	25
lookfantastic.com*	999	mobile	16.0	75279.06648646307	17	5	26
lookfantastic.com*	999	mobile	10.0	56976.31902552908	17	5	27
lookfantastic.com*	999	mobile	26.0	109653.88060487068	17	5	28
lookfantastic.com*	999	mobile	20.0	89879.00564598551	17	5	29
lookfantastic.com*	999	mobile	14.0	56746.411207840254	17	5	30
lookfantastic.com*	999	mobile	22.0	69653.16729711062	17	5	31
lookfantastic.com*	999	mobile	18.0	71739.18789642426	17	6	1
lookfantastic.com*	999	mobile	19.0	56204.09230085265	17	6	2
lookfantastic.com*	999	mobile	11.0	65732.46818281252	17	6	3
lookfantastic.com*	999	mobile	14.0	49073.707312143284	17	6	4
lookfantastic.com*	999	mobile	20.0	75243.27486932083	17	6	5
lookfantastic.com*	999	mobile	19.0	73063.93515108962	17	6	6
lookfantastic.com*	999	mobile	19.0	64788.54377558567	17	6	7
lookfantastic.com*	999	mobile	16.0	56442.6980742882	17	6	8
lookfantastic.com*	999	mobile	20.0	99922.94605035082	17	6	9
lookfantastic.com*	999	mobile	22.0	73229.20788911691	17	6	10
lookfantastic.com*	999	mobile	31.0	112298.60530357354	17	6	11
lookfantastic.com*	999	mobile	32.0	83329.45956062005	17	6	12
lookfantastic.com*	999	mobile	27.0	76570.66530372566	17	6	13
lookfantastic.com*	999	mobile	11.0	58408.75843581693	17	6	14
lookfantastic.com*	999	mobile	21.0	88475.31551468102	17	6	15
lookfantastic.com*	999	mobile	15.0	58804.6963089193	17	6	16
lookfantastic.com*	999	mobile	12.0	70898.85559816651	17	6	17
lookfantastic.com*	999	mobile	21.0	133209.4275835195	17	6	18
lookfantastic.com*	999	mobile	19.0	80366.01122291537	17	6	19
lookfantastic.com*	999	mobile	14.0	82162.71534427707	17	6	20
lookfantastic.com*	999	mobile	22.0	78685.3055840386	17	6	21
lookfantastic.com*	999	mobile	17.0	73141.82775802488	17	6	22
lookfantastic.com*	999	mobile	15.0	56126.860823695635	17	6	23
lookfantastic.com*	999	mobile	12.0	67058.29865860364	17	6	24
lookfantastic.com*	999	mobile	21.0	100165.13284664621	17	6	25
lookfantastic.com*	999	mobile	19.0	69630.09071963631	17	6	26
lookfantastic.com*	999	mobile	14.0	68794.45674888352	17	6	27
lookfantastic.com*	999	mobile	22.0	73712.6325172734	17	6	28
lookfantastic.com*	999	mobile	17.0	68947.28158736647	17	6	29
lookfantastic.com*	999	mobile	35.0	91783.14963964612	17	1	1
lookfantastic.com*	999	mobile	36.0	105470.35318599147	17	1	2
lookfantastic.com*	999	mobile	31.0	100454.37257210827	17	1	3
lookfantastic.com*	999	mobile	32.0	76273.85919894782	17	1	4
lookfantastic.com*	999	mobile	23.0	67677.82739982916	17	1	5
lookfantastic.com*	999	mobile	27.0	82794.61619507475	17	1	6
lookfantastic.com*	999	mobile	36.0	64468.63725528716	17	1	7
lookfantastic.com*	999	mobile	27.0	85604.41070668078	17	1	8
lookfantastic.com*	999	mobile	27.0	79585.77490275518	17	1	9
lookfantastic.com*	999	mobile	28.0	72045.28417976825	17	1	10
lookfantastic.com*	999	mobile	51.0	82668.15766834932	17	1	11
lookfantastic.com*	999	mobile	35.0	74051.74335984756	17	1	12
lookfantastic.com*	999	mobile	42.0	90365.69739586193	17	1	13
lookfantastic.com*	999	mobile	53.0	114853.0111401946	17	1	14
lookfantastic.com*	999	mobile	27.0	83305.65398677588	17	1	15
lookfantastic.com*	999	mobile	27.0	78530.27746638352	17	1	16
lookfantastic.com*	999	mobile	28.0	71263.47296569924	17	1	17
lookfantastic.com*	999	mobile	38.0	124034.54604102975	17	1	18
lookfantastic.com*	999	mobile	30.0	66697.19655715376	17	1	19
lookfantastic.com*	999	mobile	26.0	82582.47866883385	17	1	20
lookfantastic.com*	999	mobile	25.0	56474.42308460563	17	1	21
lookfantastic.com*	999	mobile	27.0	61856.33618774564	17	1	22
lookfantastic.com*	999	mobile	27.0	85963.57557744723	17	1	23
lookfantastic.com*	999	mobile	31.0	75631.91568132813	17	1	24
lookfantastic.com*	999	mobile	21.0	52755.37317055287	17	1	25
lookfantastic.com*	999	mobile	20.0	54380.61882096555	17	1	26
lookfantastic.com*	999	mobile	23.0	62065.813089471834	17	1	27
lookfantastic.com*	999	mobile	36.0	99553.42962249121	17	1	28
lookfantastic.com*	999	mobile	26.0	101982.798879955	17	1	29
lookfantastic.com*	999	mobile	35.0	82261.5025569431	17	1	30
lookfantastic.com*	999	mobile	20.0	62937.84684878547	17	1	31
lookfantastic.com*	999	mobile	30.0	89197.70030293905	17	2	1
lookfantastic.com*	999	mobile	25.0	107137.6581406749	17	2	2
lookfantastic.com*	999	mobile	32.0	92858.7067006553	17	2	3
lookfantastic.com*	999	mobile	40.0	95836.05932781982	17	2	4
lookfantastic.com*	999	mobile	35.0	86443.84323945135	17	2	5
lookfantastic.com*	999	mobile	34.0	63040.992849683025	17	2	6
lookfantastic.com*	999	mobile	32.0	100617.55474877113	17	2	7
lookfantastic.com*	999	mobile	44.0	111423.73059301868	17	2	8
lookfantastic.com*	999	mobile	23.0	93442.63815816461	17	2	9
lookfantastic.com*	999	mobile	23.0	60308.544888385026	17	2	10
lookfantastic.com*	999	mobile	36.0	70193.82949894204	17	2	11
lookfantastic.com*	999	mobile	26.0	100029.98533029627	17	2	12
lookfantastic.com*	999	mobile	28.0	121770.85307255058	17	2	13
lookfantastic.com*	999	mobile	30.0	82174.30850399712	17	2	14
lookfantastic.com*	999	mobile	38.0	100570.85925983643	17	2	15
lookfantastic.com*	999	mobile	38.0	91288.41308909492	17	2	16
lookfantastic.com*	999	mobile	24.0	78569.36909350847	17	2	17
lookfantastic.com*	999	mobile	26.0	95802.9846021076	17	2	18
lookfantastic.com*	999	mobile	42.0	115359.41837712293	17	2	19
lookfantastic.com*	999	mobile	28.0	85252.75889045527	17	2	20
lookfantastic.com*	999	mobile	21.0	69705.13784979364	17	2	21
lookfantastic.com*	999	mobile	24.0	90337.3032655485	17	2	22
lookfantastic.com*	999	mobile	23.0	90943.11362979471	17	2	23
lookfantastic.com*	999	mobile	31.0	113618.18464667945	17	2	24
lookfantastic.com*	999	mobile	27.0	84583.53597927188	17	2	25
lookfantastic.com*	999	mobile	16.0	93745.52376491486	17	2	26
lookfantastic.com*	999	mobile	22.0	81717.90749875324	17	2	27
lookfantastic.com*	999	mobile	30.0	122727.39275867726	17	2	28
lookfantastic.com*	999	mobile	30.0	102271.29639204362	17	3	1
lookfantastic.com*	999	mobile	20.0	69493.60382267668	17	3	2
lookfantastic.com*	999	mobile	29.0	94960.41865246961	17	3	3
lookfantastic.com*	999	mobile	12.0	51316.76103739096	17	3	4
lookfantastic.com*	999	mobile	29.0	102443.50888765097	17	3	5
lookfantastic.com*	999	mobile	26.0	95806.13129867543	17	3	6
lookfantastic.com*	999	mobile	31.0	82505.61570353266	17	3	7
lookfantastic.com*	999	mobile	25.0	64315.12148614826	17	3	8
lookfantastic.com*	999	mobile	21.0	58413.24591211439	17	3	9
lookfantastic.com*	999	mobile	22.0	71018.31357537946	17	3	10
lookfantastic.com*	999	mobile	24.0	69950.19157387795	17	3	11
lookfantastic.com*	999	mobile	24.0	83846.96016725186	17	3	12
lookfantastic.com*	999	mobile	21.0	82922.98216190864	17	3	13
lookfantastic.com*	999	mobile	19.0	93522.65992279469	17	3	14
lookfantastic.com*	999	mobile	28.0	85330.31174499259	17	3	15
lookfantastic.com*	999	mobile	28.0	72865.77971093186	17	3	16
lookfantastic.com*	999	mobile	20.0	73273.25031756774	17	3	17
lookfantastic.com*	999	mobile	21.0	69119.01516988684	17	3	18
lookfantastic.com*	999	mobile	14.0	54418.149841626226	17	3	19
lookfantastic.com*	999	mobile	21.0	80835.24789582379	17	3	20
lookfantastic.com*	999	mobile	19.0	91525.20618039551	17	3	21
lookfantastic.com*	999	mobile	23.0	84533.35193932848	17	3	22
lookfantastic.com*	999	mobile	21.0	88799.88726472322	17	3	23
lookfantastic.com*	999	mobile	19.0	66996.54313235759	17	3	24
lookfantastic.com*	999	mobile	18.0	82696.37313746675	17	3	25
lookfantastic.com*	999	mobile	25.0	98699.23671144516	17	3	26
lookfantastic.com*	999	mobile	24.0	77065.0185271149	17	3	27
lookfantastic.com*	999	mobile	10.0	47421.734879955926	17	3	28
