johnlewisweeklydistro.site	johnlewisweeklydistro.country	johnlewisweeklydistro.weekbegins	johnlewisweeklydistro.weekends	johnlewisweeklydistro.direct	johnlewisweeklydistro.displayads	johnlewisweeklydistro.mail	johnlewisweeklydistro.organic_search	johnlewisweeklydistro.paid_search	johnlewisweeklydistro.referrals	johnlewisweeklydistro.social
mandmdirect.com*	999	24.07.2017	30.07.2017	0.2686473693199841	0.02880775580913032	0.05602140655372378	0.2548290810309631	0.14995974071393134	0.16089074687075547	0.08084389970151196
maplin.co.uk*	999	24.07.2017	30.07.2017	0.17367957997542252	0.011314697264111285	0.0296473713122916	0.6062672597339629	0.05764766644056699	0.10117722700944536	0.020266198264199328
orlakiely.com*	999	24.07.2017	30.07.2017	0.14285714285714285	0.0	0.10714285714285714	0.5357142857142857	0.0	0.14285714285714285	0.07142857142857142
simplyelectricals.co.uk*	999	24.07.2017	30.07.2017	0.031446540880503145	0.031446540880503145	0.0	0.8742138364779874	0.031446540880503145	0.031446540880503145	0.0
allbeauty.com*	999	24.07.2017	30.07.2017	0.2524104683195592	0.0234159779614325	0.08057851239669418	0.17871900826446274	0.24242424242424232	0.20867768595041317	0.013774104683195587
ao.com*	999	24.07.2017	30.07.2017	0.24536309070927384	0.006509425986981149	0.029469946741060113	0.29600135260799737	0.23564122072871763	0.16062219967875563	0.026392763547214478
ctshirts.com*	999	24.07.2017	30.07.2017	0.41384426475373837	0.012110586052754075	0.07422059166616427	0.26331874246131004	0.06245602235777459	0.1325277833845306	0.04152200932372825
westelm.co.uk*	999	24.07.2017	30.07.2017	0.38900634249471466	0.0	0.031712473572938694	0.41437632135306557	0.042283298097251586	0.06342494714587739	0.05919661733615222
matalan.co.uk*	999	24.07.2017	30.07.2017	0.18081424866555987	0.005763135145519164	0.10304485640188267	0.44898664873691313	0.0654692152530977	0.14203658218642373	0.05388531361060418
wallis-fashion.com*	999	24.07.2017	30.07.2017	1.0	0.0	0.0	0.0	0.0	0.0	0.0
littlewoods.com*	999	24.07.2017	30.07.2017	0.365148113563666	0.007649057278525025	0.0429737945284406	0.2740349273836251	0.010430532652534125	0.2690282717104088	0.030735302882800557
techradar.com*	999	24.07.2017	30.07.2017	0.10537712840966576	1.9760981074729914E-4	0.0017784882967256921	0.8539473456448267	1.4371622599803575E-4	0.02362239809562421	0.014933313516412566
achica.com*	999	24.07.2017	30.07.2017	0.26414787069456874	0.0	0.28214314795212114	0.17555573650354206	0.004559889259832261	0.23654425535379853	0.03704910023613712
argos.co.uk*	999	24.07.2017	30.07.2017	0.26833535112383833	0.006968204922182055	0.01899579869066124	0.501769596897981	0.06912787681269267	0.11750067744542927	0.017302494107214943
lakeland.co.uk*	999	24.07.2017	30.07.2017	0.13360631685651025	0.01960679702296796	0.03781310854429535	0.5062555019073277	0.11624029663616718	0.15013204577586894	0.03634593325686237
oceanlighting.co.uk*	999	24.07.2017	30.07.2017	0.16203703703703703	0.0	0.0	0.4537037037037037	0.3379629629629629	0.023148148148148147	0.023148148148148147
seafolly.com*	999	24.07.2017	30.07.2017	0.12135922330097086	0.0	0.0	0.6844660194174758	0.0	0.1699029126213592	0.024271844660194174
aldoshoes.com*	999	24.07.2017	30.07.2017	0.3453615127375504	0.0148186914765274	0.05834859768882664	0.4254118534849164	0.0790021489342367	0.05353252295895523	0.023524672718987248
hugoboss.com*	999	24.07.2017	30.07.2017	0.21735612373043472	0.01031320815608725	0.06128992275617566	0.3914528995081934	0.14006318886267063	0.13178923637826326	0.047735420608175275
dorothyperkins.com*	999	24.07.2017	30.07.2017	0.3037106555010106	0.014727115218019055	0.03898354028299161	0.40521224371931847	0.030970257002598894	0.17867455963037823	0.02772162864568293
ledhut.co.uk*	999	24.07.2017	30.07.2017	0.1457943925233645	0.009345794392523366	0.042056074766355145	0.2794392523364487	0.1663551401869159	0.3523364485981309	0.004672897196261683
lkbennett.com*	999	24.07.2017	30.07.2017	0.30228471001757473	0.03075571177504394	0.02636203866432338	0.21792618629173993	0.09490333919156417	0.3014059753954306	0.02636203866432338
mrporter.com*	999	24.07.2017	30.07.2017	0.41528267766018756	0.030420486325073173	0.047108295966256174	0.1673802758686249	0.09473164778563528	0.16084566981413181	0.08423094658009152
siemens.co.uk*	999	24.07.2017	30.07.2017	0.17647058823529413	0.0	0.0	0.7843137254901961	0.0	0.0392156862745098	0.0
spacenk.com*	999	24.07.2017	30.07.2017	0.3123644251626898	0.05061460592913956	0.02169197396963124	0.3412870571221982	0.081706435285611	0.15618221258134493	0.0361532899493854
wayfair.com*	999	24.07.2017	30.07.2017	0.24124249900736577	0.042216044441445784	0.06302353796469157	0.32917654022265197	0.13573914111544727	0.12711448235650966	0.06148775489188788
dyson.co.uk*	999	24.07.2017	30.07.2017	0.2317489197179895	0.01137138958380714	0.006822833750284284	0.4171025699340458	0.1423697975892654	0.18467136684102797	0.005913122583579713
houseology.com*	999	24.07.2017	30.07.2017	0.12427745664739884	0.014450867052023121	0.0	0.40462427745664736	0.2254335260115607	0.15895953757225434	0.0722543352601156
mothercare.com*	999	24.07.2017	30.07.2017	0.14813880126182963	0.008832807570977918	0.05299684542586751	0.5890220820189276	0.08858044164037855	0.1003154574132492	0.012113564668769715
qvcuk.com*	999	24.07.2017	30.07.2017	0.3415422036097481	0.0016554861628948216	0.1261480456125854	0.3672341305347256	0.019865833954737858	0.11392109780949079	0.029633202315817304
johnlewis.com*	999	25.07.2016	31.07.2016	0.2426646830316555	0.005950905033473841	0.02206793949913216	0.43730886850152906	0.0819902471278618	0.19274320191751385	0.017274154888833788
hm.com*	999	24.07.2017	30.07.2017	0.279620509384497	0.0022629167407292577	0.0402282970725928	0.4075459579840378	0.04580455609683012	0.16625545040390513	0.05828231231740782
mankind.co.uk*	999	24.07.2017	30.07.2017	0.2676669739644594	0.09012302508185778	0.11015036398893728	0.25100931430206314	0.050068347267698765	0.2009409670343644	0.030041008360619258
appliancesdirect.co.uk*	999	24.07.2017	30.07.2017	0.10201177625122666	0.042934249263984293	0.03400392541707556	0.5392541707556429	0.16349362119725216	0.1148675171736997	0.0034347399411187437
boohoo.com*	999	24.07.2017	30.07.2017	0.3692165318160709	0.01482287080483412	0.03546810424141269	0.36473487882377653	0.018051866674840867	0.15911034818496786	0.03859539945409638
sainsburysentertainment.co.uk*	999	24.07.2017	30.07.2017	0.5	0.0	0.0	0.0	0.0	0.25	0.25
feelunique.com*	999	24.07.2017	30.07.2017	0.30103981504503274	0.058837500139161565	0.05447339416857475	0.2579832338173682	0.07676150680407173	0.20492557640710884	0.04597897361868255
jessops.com*	999	24.07.2017	30.07.2017	0.26179987413467587	0.026117054751415986	0.014159848961611076	0.47514159848961607	0.07394587791063562	0.1331025802391441	0.015733165512901194
sofa.com*	999	24.07.2017	30.07.2017	0.49687499999999996	0.0	0.0	0.1875	0.203125	0.1125	0.0
dfs.co.uk*	999	24.07.2017	30.07.2017	0.21641468682505394	0.004319654427645788	0.0	0.6505399568034558	0.05183585313174945	0.06177105831533477	0.015118790496760258
grahambrown.com*	999	24.07.2017	30.07.2017	0.147654636640771	0.028395122430917498	0.014197561215458749	0.41078277116727313	0.10884796931851708	0.23995722293244176	0.05016471629462091
loaf.com*	999	24.07.2017	30.07.2017	0.1848552338530067	0.0	0.0	0.3919821826280624	0.23385300668151449	0.1447661469933185	0.044543429844097995
panasonic.com*	999	24.07.2017	30.07.2017	0.20031873768245834	0.00642922106292997	0.012083153703565445	0.5897155823913325	0.018531284240209913	0.15140303983240272	0.021518981087100895
sportsdirect.com*	999	24.07.2017	30.07.2017	0.34850276178001216	0.009295368928599897	0.04008081492567135	0.3565059824691173	0.015341729595322401	0.173348053408037	0.05692528889323942
clarks.co.uk*	999	24.07.2017	30.07.2017	0.26591037386460903	0.020301132155097306	0.10944521245990577	0.2578846787622758	0.11220180183315802	0.20390560334654123	0.030351197578412804
debenhams.com*	999	24.07.2017	30.07.2017	0.19823188788427465	0.011998888772862412	0.07248983837949982	0.5239376845888163	0.038437819551686826	0.13653316835682208	0.018370712466037626
groovystyle.co.uk*	999	24.07.2017	30.07.2017	0.0	0.0	0.0	0.5714285714285714	0.2857142857142857	0.14285714285714285	0.0
net-a-porter.com*	999	24.07.2017	30.07.2017	0.3029406152119984	0.05181795877256039	0.04166175248901304	0.21595271198040644	0.13237632413772327	0.20812015845891385	0.047130478949384685
warehouse.co.uk*	999	24.07.2017	30.07.2017	0.2925930631431839	0.00444670308728243	0.06670054630923646	0.4500063524329819	0.02223351543641215	0.14623300724177363	0.01778681234912972
dawsonsdepartmentstore.co.uk*	999	24.07.2017	30.07.2017	0.0	0.0	0.0	0.25	0.0	0.75	0.0
phoneshopbysainsburys.co.uk*	999	24.07.2017	30.07.2017	0.0	0.0	0.0	1.0	0.0	0.0	0.0
topshop.com*	999	24.07.2017	30.07.2017	0.31511142481297444	0.020710721100472954	0.019365446393056165	0.4210818324110301	0.036148833267038175	0.1423957004316305	0.045186041583797715
lookfantastic.com*	999	24.07.2017	30.07.2017	0.25955992518532306	0.051684799106924285	0.07427430920610449	0.2674146205540952	0.09541809065893717	0.21225214967564585	0.03939610561297026
mamasandpapas.co.uk*	999	24.07.2017	30.07.2017	1.0	0.0	0.0	0.0	0.0	0.0	0.0
tuclothing.sainsburys.co.uk#	999	24.07.2017	30.07.2017	0.10148465524113191	0.022668393782383417	0.1360103626943005	0.3365384615384615	0.10253088880031884	0.27236946990832994	0.02839776803507373
barbour.com*	999	24.07.2017	30.07.2017	0.18853469531525188	0.0	0.04623106727721028	0.5405952800281789	0.05116238112011272	0.139573793589292	0.03390278266995421
jaeger.co.uk*	999	24.07.2017	30.07.2017	0.1948640483383686	0.0	0.20392749244712993	0.38519637462235656	0.06042296072507554	0.14048338368580063	0.015105740181268885
bathstore.com*	999	24.07.2017	30.07.2017	0.12771739130434784	0.009057971014492754	0.027173913043478264	0.6585144927536233	0.10507246376811596	0.06793478260869566	0.004528985507246377
dabs.com*	999	24.07.2017	30.07.2017	0.3333333333333333	0.0	0.0	0.5	0.0	0.16666666666666666	0.0
ebuyer.com*	999	24.07.2017	30.07.2017	0.31853633813986776	0.01117491542805857	0.04206056729379978	0.24089983738272386	0.10379063517499418	0.2562395736898743	0.027298132890681816
habitat.co.uk*	999	24.07.2017	30.07.2017	0.2188427299703264	0.0037091988130563795	0.011127596439169139	0.4673590504451038	0.11461424332344214	0.1487388724035608	0.03560830860534124
josephjoseph.com*	999	24.07.2017	30.07.2017	0.27667386609071276	0.00755939524838013	0.02267818574514039	0.45507559395248387	0.05291576673866091	0.11036717062634989	0.07473002159827215
fisherpaykel.com*	999	24.07.2017	30.07.2017	0.19828990228013021	0.002850162866449511	0.0513029315960912	0.5717426710097718	0.0256514657980456	0.1273615635179153	0.022801302931596087
newlook.com*	999	24.07.2017	30.07.2017	0.2591986891546748	0.01376128311471764	0.04673845120050474	0.35561865043862284	0.07593661407862326	0.2071772547285022	0.04156905728435432
swooneditions.com*	999	24.07.2017	30.07.2017	0.34587155963302757	0.0	0.0	0.16972477064220184	0.30733944954128445	0.11743119266055048	0.05963302752293579
jdsports.co.uk*	999	24.07.2017	30.07.2017	0.26510694399119994	0.018706013408502534	0.03053716718823918	0.4041777939888411	0.08614511262401553	0.13897291456650543	0.056354054232696675
lauraashley.com*	999	25.07.2016	31.07.2016	0.21428571428571427	0.003663003663003663	0.06043956043956044	0.48717948717948717	0.09340659340659341	0.11538461538461539	0.02564102564102564
furniturevillage.co.uk*	999	24.07.2017	30.07.2017	0.18955773955773958	0.004299754299754301	0.012899262899262902	0.6074938574938575	0.10319410319410321	0.06965601965601967	0.012899262899262902
lighting-direct.co.uk*	999	24.07.2017	30.07.2017	0.14787430683918668	0.0	0.0	0.7042513863216266	0.12014787430683918	0.018484288354898334	0.009242144177449167
riverisland.com*	999	24.07.2017	30.07.2017	0.20465606795147084	0.01889168047136959	0.04613084766264667	0.4574276275373869	0.038808490890797985	0.19351942897028648	0.04056585651604167
shop.mango.com#	999	24.07.2017	30.07.2017	0.3173595923498517	0.020875450411537256	0.06229781955600398	0.3388726043011213	0.10693706138683871	0.12934612777766927	0.024311344216977164
sofology.co.uk*	999	24.07.2017	30.07.2017	0.1990349819059108	0.0	0.0	0.2629674306393246	0.40530759951749107	0.08685162846803379	0.04583835946924006
sweatybetty.com*	999	24.07.2017	30.07.2017	0.272761287104016	0.059366425542529314	0.05238214018458469	0.2950860563731604	0.06984285357944625	0.20254427538039416	0.0480169618358693
blinds-2go.co.uk*	999	24.07.2017	30.07.2017	0.1247689463955638	0.0	0.08317929759704254	0.29020332717190395	0.36598890942698714	0.1358595194085028	0.0
toysrus.co.uk*	999	24.07.2017	30.07.2017	0.16586250345738957	0.024309290389993545	0.025815175635391374	0.6205169181597466	0.046897569070960994	0.10369095546882201	0.012907587817695687
currys.co.uk*	999	24.07.2017	30.07.2017	0.2098331561038214	0.016263597972716353	0.024509571983843993	0.4551868269241479	0.1595659401722514	0.10710644294497573	0.02753446389824271
farfetch.com*	999	24.07.2017	30.07.2017	0.28060541754643636	0.07658464459003793	0.03424591928106641	0.2320587465153028	0.1808565820080532	0.14678052735275401	0.04886816270634933
hughes.co.uk*	999	24.07.2017	30.07.2017	0.26165413533834586	0.10526315789473684	0.0	0.48270676691729325	0.007518796992481203	0.12781954887218044	0.015037593984962405
office.co.uk*	999	24.07.2017	30.07.2017	0.16562868204006054	0.04443696347416259	0.035347584581720236	0.4982326207709138	0.09981484598552427	0.11782528193906745	0.038714021208550733
diy.com*	999	24.07.2017	30.07.2017	0.2041175129450864	0.005462438682715517	0.04165932151998702	0.551661648462455	0.09374992654853316	0.09351018096090968	0.00983897088031289
hotter.com*	999	24.07.2017	30.07.2017	0.17408906882591094	0.07113938692886061	0.18218623481781376	0.2278773857721226	0.06072874493927125	0.2591093117408907	0.02486986697513013
notonthehighstreet.com*	999	24.07.2017	30.07.2017	0.16434451718117285	0.008513421999456396	0.03352159912285956	0.5346885091837159	0.07364110029529781	0.1332525602458205	0.05203829197167722
oasis-stores.com*	999	24.07.2017	30.07.2017	0.32958610117526826	0.010219724067450179	0.0689831374552887	0.4435360245273377	0.02708226877874297	0.09248850281042412	0.028104241185487988
etsy.com*	999	24.07.2017	30.07.2017	0.3093751863096213	0.0039784387706824804	0.04134219737891032	0.2781700653653098	0.04736853828825769	0.18375569396965635	0.13600987991756144
halfords.com*	999	24.07.2017	30.07.2017	0.15130902540734836	0.00690908791814376	0.023318171723735192	0.6031469250446211	0.08359996380953949	0.11381077324208953	0.01790605285452258
harrods.com*	999	24.07.2017	30.07.2017	0.21244046082733062	0.04615312419343487	0.020202257209225936	0.4109434759144984	0.14765714822027737	0.14207278443886534	0.020530749196367826
made.com*	999	24.07.2017	30.07.2017	0.37503655673737385	0.03629590011250254	0.04747238154958413	0.1496099297320227	0.17611257630807262	0.14963100749050845	0.06584164806993602
bensonsforbeds.co.uk*	999	24.07.2017	30.07.2017	0.1414728682170543	0.0	0.0	0.5155038759689924	0.16279069767441862	0.15794573643410856	0.022286821705426358
canon.co.uk*	999	24.07.2017	30.07.2017	0.10965667700080378	5.741187277528994E-4	0.0034447123665173962	0.7832127684005051	0.017797680560339882	0.07497990584452865	0.01033413709955219
purecollection.com*	999	24.07.2017	30.07.2017	0.22633744855967078	0.0205761316872428	0.30864197530864196	0.1646090534979424	0.0823045267489712	0.17695473251028807	0.0205761316872428
reiss.com*	999	24.07.2017	30.07.2017	0.2853736089030206	0.05365659777424483	0.05365659777424483	0.3720190779014308	0.06558028616852146	0.13275039745627978	0.03696343402225755
goldsmiths.co.uk*	999	24.07.2017	30.07.2017	0.1724517906336088	0.005509641873278237	0.008264462809917356	0.5597796143250688	0.14600550964187328	0.10247933884297522	0.005509641873278237
homebase.co.uk*	999	24.07.2017	30.07.2017	0.14240538199689812	0.0014099542771970112	0.01290108163635265	0.6719439241041755	0.10225189840272325	0.058301609362096406	0.010786150220557136
dabs.com*	999	25.07.2016	31.07.2016	0.76	0.0	0.0	0.18	0.0	0.04	0.02
lecreuset.co.uk*	999	25.07.2016	31.07.2016	0.4375	0.0	0.0	0.3125	0.14583333333333334	0.10416666666666667	0.0
bosch-home.co.uk*	999	24.07.2017	30.07.2017	0.20886075949367094	0.0	0.02373417721518988	0.6265822784810128	0.0	0.13291139240506333	0.007911392405063293
hp.com*	999	24.07.2017	30.07.2017	0.24643505273871247	0.007193519271112218	0.014207686360645639	0.5995460537208471	0.023166534325431577	0.09606592178720157	0.013385231796049156
nespresso.com*	999	24.07.2017	30.07.2017	0.27537432267744255	0.028227931764371234	0.07742183774377338	0.3093359659323835	0.1571471996564236	0.12453810993889806	0.02795463228670789
dunelm.com*	999	24.07.2017	30.07.2017	0.1603283173734611	0.012716826265389884	0.047343365253078	0.5418331053351576	0.1293132694938441	0.09881258549931604	0.009652530779753766
dwell.co.uk*	999	24.07.2017	30.07.2017	0.38984113712374585	0.029264214046822744	0.06584448160535117	0.2048494983277592	0.19460702341137126	0.09364548494983277	0.021948160535117056
houseoffraser.co.uk*	999	24.07.2017	30.07.2017	0.21878957061209145	0.05205566199106273	0.041141686754736735	0.40638843916623274	0.13182482130996898	0.12808615215646313	0.021713668009444388
laptopsdirect.co.uk*	999	24.07.2017	30.07.2017	0.13178755449861274	0.02556480380499404	0.013674197384066581	0.635751089972255	0.11078081648830752	0.058660325009908816	0.023781212841854926
marksandspencer.com*	999	24.07.2017	30.07.2017	0.2869274191106401	0.007943487715021819	0.08371019378664711	0.41212895907445773	0.046244253321846764	0.14265571534072508	0.0203899716506611
moss.co.uk*	999	24.07.2017	30.07.2017	0.1754563894523326	0.007606490872210952	0.04563894523326572	0.4756592292089249	0.1648073022312373	0.10040567951318458	0.03042596348884381
aeg.co.uk*	999	24.07.2017	30.07.2017	0.08385744234800838	0.0	0.0	0.7148846960167715	0.020964360587002094	0.1593291404612159	0.020964360587002094
glassesdirect.co.uk*	999	24.07.2017	30.07.2017	0.20046945378417813	0.008881558079045867	0.08393072384698344	0.3494893104104549	0.12167734568292837	0.20827253695362558	0.027279071242783733
next.co.uk*	999	24.07.2017	30.07.2017	0.3229934519050609	0.003330639504412377	0.03469920792778713	0.4122985665994531	0.01583567691643339	0.19179725488980418	0.019045202257048956
amazon.co.uk*	999	24.07.2017	30.07.2017	0.4145026339945584	0.002341732720359983	0.03939957296752782	0.2810822674172242	0.027719521278045372	0.18619264386431666	0.04876162775796765
lg.com*	999	24.07.2017	30.07.2017	0.15376194886020614	0.05128031792917457	0.013850727861726158	0.6180073386278528	0.04841822962370011	0.08120001769752284	0.03348141939981759
simplehuman.com*	999	24.07.2017	30.07.2017	0.18582375478927204	0.0363984674329502	0.014367816091954026	0.4224137931034484	0.12452107279693489	0.18007662835249047	0.0363984674329502
whitestuff.com*	999	24.07.2017	30.07.2017	0.3033112582781457	0.033112582781456956	0.09139072847682118	0.2556291390728477	0.1456953642384106	0.13112582781456955	0.039735099337748346
worldstores.co.uk*	999	24.07.2017	30.07.2017	0.0901967511572377	0.00798929779951912	0.06315903060419843	0.13294191538399816	0.15467280539869016	0.5446487614167412	0.0063914382396152965
bhsdirect.co.uk*	999	24.07.2017	30.07.2017	0.0	0.0	0.0	1.0	0.0	0.0	0.0
johnlewis.com*	999	24.07.2017	30.07.2017	0.22112007312352772	0.009413533977623052	0.02943370723199904	0.4649063248065577	0.11347587322116516	0.13824046763148748	0.02341002000763974
phase-eight.com*	999	24.07.2017	30.07.2017	0.1481481481481482	0.009496676163342831	0.1566951566951567	0.2905982905982907	0.04748338081671416	0.31908831908831914	0.028490028490028494
richersounds.com*	999	24.07.2017	30.07.2017	0.19258533181595403	0.0	0.02354983677097264	0.6441939476504157	0.0	0.119086581992474	0.020584301770183496
very.co.uk*	999	24.07.2017	30.07.2017	0.3184287050287053	0.0067759439561491785	0.042638866846011904	0.3320212538513097	0.05922064839723875	0.21232340376415104	0.028591178156434336
ikea.com*	999	24.07.2017	30.07.2017	0.26533533999592734	0.00696651549544058	0.04316145356801323	0.3866167754543647	0.07301238334996235	0.18481302407743652	0.04009450805885524
