takevisits.site	takevisits.country	takevisits.source	takevisits.site2	takevisits.traffic_source	takevisits.landingpage	takevisits.sendingpage	takevisits.user	takevisits.pages	takevisits.year	takevisits.month	takevisits.day
submarino.com.br*	76	3017	mysearch.avg.com	5	submarino.com.br	mysearch.avg.com/?cid={D56C9007-E87A-40CC-B563-E9D37CBACC0E}&mid=9e0fdaaa17f947cda1c9f5bcec87a11a-f0ee80691e9c7fbe4348f98d97dbf7cb7a9d4618&lang=pt-br&ds=AVG&coid=avgtbavg&cmpid=0715av&pr=fr&d=2015-07-18%2020:54:13&v=4.2.1.951&pid=wtu&sg=&sap=hp	88238542279871	["submarino.com.br","submarino.com.br/landingpage/lgg6?chave=pm_hm_bt_lgg6_2004"]	17	4	20
submarino.com.br*	76	1240	mail.google.com	5	submarino.com.br	mail.google.com/mail/u/0/#spam	0ccaf1befbaba13482db0311f2f9ae1ba69ce670	["submarino.com.br","submarino.com.br/busca/?conteudo=samsung%20j3","submarino.com.br/produto/125667677/smartphone-samsung-galaxy-j3-duos-dual-chip-android-5.1-tela-5-8gb-4g-wi-fi-camera-8mp-preto?condition=NEW"]	17	4	20
submarino.com.br*	76	1240	promoforum.com.br	6	submarino.com.br/produto/115010508/gps-automotivo-tomtom-via-1505m-tela-5-com-funcao-tts?condition=NEW&franq=AFL-03-144630&opn=AFLNOVOSUB&sellerId=00776574000660	promoforum.com.br/topicos/gps-automotivo-tomtom-via-1505m-tela-5-com-funcao-tts-r-199-90-3x.80284	76e86ef6ae77a255d3f42f723b46706f44ac95c3	["submarino.com.br/produto/115010508/gps-automotivo-tomtom-via-1505m-tela-5-com-funcao-tts?condition=NEW&franq=AFL-03-144630&opn=AFLNOVOSUB&sellerId=00776574000660"]	17	4	20
submarino.com.br*	76	1240	youtube.com	5	submarino.com.br	youtube.com/watch?v=L3o5RcU5Ds0	a6aca2f2413b9b676b1ad9eac24802a703332c24	["submarino.com.br","submarino.com.br/produto/122243617/kit-livros-especial-stephen-king-3-volumes-?condition=NEW&oferta=58d55f6669e9c2b624546490","submarino.com.br/categoria/309573?filtro=[{%22id%22:%22tag%22,%22value%22:%22sl-1recordmktplace%22}]&chave=prf_hm_dt_0_12_0","submarino.com.br/landingpage/24hlivros?chave=prf_hm_de_0_1_livros24h","submarino.com.br/categoria/309573?filtro={%22id%22:%22tag%22,%22value%22:%22sl-1recordmktplace%22}&limite=24&offset=24","submarino.com.br/categoria/309573?filtro={%22id%22:%22tag%22,%22value%22:%22sl-1recordmktplace%22}&limite=24&offset=48","submarino.com.br/categoria/309573?filtro={%22id%22:%22tag%22,%22value%22:%22sl-1recordmktplace%22}&limite=24&offset=72","submarino.com.br/produto/120975339/livro-rebelde-as-cronicas-de-starbuck-vol.-1?condition=NEW","submarino.com.br/categoria/309573?filtro={%22id%22:%22tag%22,%22value%22:%22sl-1recordmktplace%22}&limite=24&offset=96","submarino.com.br/categoria/309573?filtro={%22id%22:%22tag%22,%22value%22:%22sl-1recordmktplace%22}&limite=24&offset=120","submarino.com.br/categoria/309573?filtro={%22id%22:%22tag%22,%22value%22:%22sl-1recordmktplace%22}&limite=24&offset=144","submarino.com.br/categoria/309573?filtro={%22id%22:%22tag%22,%22value%22:%22sl-1recordmktplace%22}&limite=24&offset=168","submarino.com.br/categoria/309573?filtro={%22id%22:%22tag%22,%22value%22:%22sl-1recordmktplace%22}&limite=24&offset=192","submarino.com.br/landingpage/24hlivros?limite=24&offset=24","submarino.com.br/landingpage/24hlivros?limite=24&offset=48","submarino.com.br","submarino.com.br/categoria/games/jogos-para-pc-e-acessorios?chave=prf_hi_bn_gam_1_mundopcs","submarino.com.br/categoria/informatica/computadores-e-all-in-one/pc-gamer?chave=prf_li_at_gam_1_pcgamer_pc","submarino.com.br/produto/15645112/computador-neologic-moba-box-intel-core-i3-6100-geforce-gtx-950-1tb-8gb-400w-nli57809?condition=NEW&oferta=58d4fbcc69e9c2b624b1fe4f","submarino.com.br/categoria/informatica/computadores-e-all-in-one/pc-gamer?ordenacao=lowerPrice","submarino.com.br/categoria/informatica/computadores-e-all-in-one/pc-gamer?ordenacao=biggerPrice","submarino.com.br/categoria/acessorios-de-informatica/peca?chave=prf_li_at_gam_1_pcgamer_pecas"]	17	4	20
submarino.com.br*	76	1240	google.com.br	1	submarino.com.br/produto/128869418/smartphone-moto-z-play-dual-chip-android-6.0-tela-5.5-32gb-camera-16mp-preto	google.com.br/search?q=Moto+Z+Play+XT1635&oq=Moto+Z+Play+XT1635&aqs=chrome..69i57j69i65&sourceid=chrome&ie=UTF-8	a6aca2f2413b9b676b1ad9eac24802a703332c24	["submarino.com.br/produto/128869418/smartphone-moto-z-play-dual-chip-android-6.0-tela-5.5-32gb-camera-16mp-preto"]	17	4	20
submarino.com.br*	76	1240	google.com.br	5	submarino.com.br/produto/19138451/dock-station-universal-dell-d1000-usb-3.0-dual-video-para-notebooks?WT.srch=1&condition=NEW&epar=bp_pl_00_go_g35172&gclid=Cj0KEQjwuOHHBRDmvsHs8PukyIQBEiQAlEMW0EvmWYanGjfsRdZxi-Q3ADzvGcOoMM4RXBFTQu_FwMsaAlIw8P8HAQ&opn=XMLGOOGLE&sellerId=72381189000625	google.com.br/webhp?sourceid=chrome-instant&ion=1&espv=2&ie=UTF-8#q=dell+dock+station	b9fc2e48fd003b81486ad2201bc50d39b1651c01	["submarino.com.br/produto/19138451/dock-station-universal-dell-d1000-usb-3.0-dual-video-para-notebooks?WT.srch=1&condition=NEW&epar=bp_pl_00_go_g35172&gclid=Cj0KEQjwuOHHBRDmvsHs8PukyIQBEiQAlEMW0EvmWYanGjfsRdZxi-Q3ADzvGcOoMM4RXBFTQu_FwMsaAlIw8P8HAQ&opn=XMLGOOGLE&sellerId=72381189000625","submarino.com.br/produto/19138451/dock-station-universal-dell-d1000-usb-3.0-dual-video-para-notebooks?WT.srch=1&condition=NEW&epar=bp_pl_00_go_g35172&gclid=Cj0KEQjwuOHHBRDmvsHs8PukyIQBEiQAlEMW0EvmWYanGjfsRdZxi-Q3ADzvGcOoMM4RXBFTQu_FwMsaAlIw8P8HAQ&opn=XMLGOOGLE&sellerId=72381189000625"]	17	4	20
submarino.com.br*	76	1240	tracker.ad5track.com	6	submarino.com.br/produto/22353562/lavadora-de-roupas-na-f160b5wa-16-kg-branco-panasonic?condition=NEW&epar=zoom&hl=lower&opn=COMPARADORESSUB&s_term=COMPARADORESSUB&sellerId=00776574000660&voltagem=110V	tracker.ad5track.com/tracker/click?acc=168c81fdefbbc3cf821caaf29ea72b3a&i=546b60dd8ce70e230e97f960&o=58f4e68beec3dfb1f8ca6a9e&redirect_url=http://www.submarino.com.br/produto/22353562/lavadora-de-roupas-na-f160b5wa-16-kg-branco-panasonic?epar&opn=COMPARADORESSUB&loja=03&hl=lower&s_term=COMPARADORESSUB	050da66955bd9ba36284aceedddf96dc121f3495	["submarino.com.br/produto/22353562/lavadora-de-roupas-na-f160b5wa-16-kg-branco-panasonic?condition=NEW&epar=zoom&hl=lower&opn=COMPARADORESSUB&s_term=COMPARADORESSUB&sellerId=00776574000660&voltagem=110V"]	17	4	20
submarino.com.br*	76	1240	facebook.com	2	cliente.submarino.com.br/s/?p=l,lg&h=responsive&next=https://minhaconta.submarino.com.br/%23/orders/home	facebook.com	25e067464cbffa5102f18548f604798743643cb1	["cliente.submarino.com.br/s/?p=l,lg&h=responsive&next=https://minhaconta.submarino.com.br/%23/orders/home","minhaconta.submarino.com.br/#/orders/home","minhaconta.submarino.com.br/#/orders/order/03-493002295","minhaconta.submarino.com.br/#/orders/home","cliente.submarino.com.br/s/?p=l,s&h=responsive"]	17	4	20
submarino.com.br*	76	1240	youtube.com	2	cliente.submarino.com.br/s/?guest=false&h=responsive	youtube.com/watch?v=xp_mgI0ygvI	96cfdaa1043831574349ccbde441a18de65039e9	["cliente.submarino.com.br/s/?guest=false&h=responsive","minhaconta.submarino.com.br/#/account/home","minhaconta.submarino.com.br/#/orders/order/03-492775372"]	17	4	20
submarino.com.br*	76	1240	google.com.br	1	submarino.com.br/produto/21339380/oxford-quiz?WT.srch=1&condition=NEW&cor=Preto&epar=bp_pl_00_go_g35179&gclid=Cj0KEQjwuOHHBRDmvsHs8PukyIQBEiQAlEMW0MZ6PBoNYzOavWNIkn4udnX5y_3znx8kwFg03kvaBE4aAqRm8P8HAQ&opn=XMLGOOGLE&sellerId=1098983025521&tamanho=39	google.com.br/shopping/product/2588223307867793888?q=oxford+quiz+preto&sa=X&ved=0ahUKEwjM7dXTqLTTAhVCtxQKHQEmCekQ20sIBCgA	9cdc1b1fca3bb789011eaf6d5ed58d3f131afe5e	["submarino.com.br/produto/21339380/oxford-quiz?WT.srch=1&condition=NEW&cor=Preto&epar=bp_pl_00_go_g35179&gclid=Cj0KEQjwuOHHBRDmvsHs8PukyIQBEiQAlEMW0MZ6PBoNYzOavWNIkn4udnX5y_3znx8kwFg03kvaBE4aAqRm8P8HAQ&opn=XMLGOOGLE&sellerId=1098983025521&tamanho=39","submarino.com.br/produto/21339380/oxford-quiz?WT.srch=1&condition=NEW&cor=Preto&epar=bp_pl_00_go_g35179&gclid=Cj0KEQjwuOHHBRDmvsHs8PukyIQBEiQAlEMW0MZ6PBoNYzOavWNIkn4udnX5y_3znx8kwFg03kvaBE4aAqRm8P8HAQ&opn=XMLGOOGLE&sellerId=1098983025521&tamanho=34","submarino.com.br/produto/21339380/oxford-quiz?WT.srch=1&condition=NEW&cor=Preto&epar=bp_pl_00_go_g35179&gclid=Cj0KEQjwuOHHBRDmvsHs8PukyIQBEiQAlEMW0MZ6PBoNYzOavWNIkn4udnX5y_3znx8kwFg03kvaBE4aAqRm8P8HAQ&opn=XMLGOOGLE&sellerId=1098983025521&tamanho=34#&gid=null&pid=1","submarino.com.br/produto/21339380/oxford-quiz?WT.srch=1&condition=NEW&cor=Preto&epar=bp_pl_00_go_g35179&gclid=Cj0KEQjwuOHHBRDmvsHs8PukyIQBEiQAlEMW0MZ6PBoNYzOavWNIkn4udnX5y_3znx8kwFg03kvaBE4aAqRm8P8HAQ&opn=XMLGOOGLE&sellerId=1098983025521&tamanho=34#&gid=null&pid=2","submarino.com.br/produto/21339380/oxford-quiz?WT.srch=1&condition=NEW&cor=Preto&epar=bp_pl_00_go_g35179&gclid=Cj0KEQjwuOHHBRDmvsHs8PukyIQBEiQAlEMW0MZ6PBoNYzOavWNIkn4udnX5y_3znx8kwFg03kvaBE4aAqRm8P8HAQ&opn=XMLGOOGLE&sellerId=1098983025521&tamanho=34#&gid=null&pid=3","submarino.com.br/produto/21339380/oxford-quiz?WT.srch=1&condition=NEW&cor=Preto&epar=bp_pl_00_go_g35179&gclid=Cj0KEQjwuOHHBRDmvsHs8PukyIQBEiQAlEMW0MZ6PBoNYzOavWNIkn4udnX5y_3znx8kwFg03kvaBE4aAqRm8P8HAQ&opn=XMLGOOGLE&sellerId=1098983025521&tamanho=34#&gid=null&pid=4","submarino.com.br/produto/21339380/oxford-quiz?WT.srch=1&condition=NEW&cor=Preto&epar=bp_pl_00_go_g35179&gclid=Cj0KEQjwuOHHBRDmvsHs8PukyIQBEiQAlEMW0MZ6PBoNYzOavWNIkn4udnX5y_3znx8kwFg03kvaBE4aAqRm8P8HAQ&opn=XMLGOOGLE&sellerId=1098983025521&tamanho=34#&gid=null&pid=2","submarino.com.br/produto/21339380/oxford-quiz?WT.srch=1&condition=NEW&cor=Preto&epar=bp_pl_00_go_g35179&gclid=Cj0KEQjwuOHHBRDmvsHs8PukyIQBEiQAlEMW0MZ6PBoNYzOavWNIkn4udnX5y_3znx8kwFg03kvaBE4aAqRm8P8HAQ&opn=XMLGOOGLE&sellerId=1098983025521&tamanho=34#&gid=null&pid=4","submarino.com.br/produto/21339380/oxford-quiz?WT.srch=1&condition=NEW&cor=Preto&epar=bp_pl_00_go_g35179&gclid=Cj0KEQjwuOHHBRDmvsHs8PukyIQBEiQAlEMW0MZ6PBoNYzOavWNIkn4udnX5y_3znx8kwFg03kvaBE4aAqRm8P8HAQ&opn=XMLGOOGLE&sellerId=1098983025521&tamanho=34#&gid=null&pid=2"]	17	4	20
submarino.com.br*	76	1240	google.com.br	5	submarino.com.br/produto/21339380/oxford-quiz?WT.srch=1&condition=NEW&cor=Preto&epar=bp_pl_00_go_g35179&gclid=Cj0KEQjwuOHHBRDmvsHs8PukyIQBEiQAlEMW0MZ6PBoNYzOavWNIkn4udnX5y_3znx8kwFg03kvaBE4aAqRm8P8HAQ&opn=XMLGOOGLE&sellerId=1098983025521&tamanho=39	google.com.br/search?q=oxford+quiz+preto&espvd=2&tbm=shop&source=lnms&sa=X&ved=0ahUKEwjZ4Inup7TTAhXMh5AKHaKMC9AQ_AUICSgC&biw=1366&bih=672&dpr=1#spd=0	9cdc1b1fca3bb789011eaf6d5ed58d3f131afe5e	["submarino.com.br/produto/21339380/oxford-quiz?WT.srch=1&condition=NEW&cor=Preto&epar=bp_pl_00_go_g35179&gclid=Cj0KEQjwuOHHBRDmvsHs8PukyIQBEiQAlEMW0MZ6PBoNYzOavWNIkn4udnX5y_3znx8kwFg03kvaBE4aAqRm8P8HAQ&opn=XMLGOOGLE&sellerId=1098983025521&tamanho=39","submarino.com.br/produto/21339380/oxford-quiz?WT.srch=1&condition=NEW&cor=Preto&epar=bp_pl_00_go_g35179&gclid=Cj0KEQjwuOHHBRDmvsHs8PukyIQBEiQAlEMW0MZ6PBoNYzOavWNIkn4udnX5y_3znx8kwFg03kvaBE4aAqRm8P8HAQ&opn=XMLGOOGLE&sellerId=1098983025521&tamanho=34"]	17	4	20
