site	country	device category	visits	year	month	assessment
squareyards.com*	Saudi Arabia	desktop	11334	16	8	ga
squareyards.com*	Saudi Arabia	desktop	41091	16	9	ga
squareyards.com*	Saudi Arabia	desktop	46707	16	10	ga
squareyards.com*	Saudi Arabia	desktop	3135	16	11	ga
squareyards.com*	Saudi Arabia	desktop	4633	16	12	ga
squareyards.com*	Saudi Arabia	desktop	14262	17	1	ga
squareyards.com*	Saudi Arabia	desktop	10563	17	2	ga
squareyards.com*	Saudi Arabia	desktop	6948	17	3	ga
squareyards.com*	Saudi Arabia	desktop	9581	17	4	ga
squareyards.com*	Saudi Arabia	desktop	6040	17	5	ga
squareyards.com*	Saudi Arabia	desktop	956	17	6	ga
squareyards.com*	Saudi Arabia	mobile	19424.59198	16	7	sw
squareyards.com*	Saudi Arabia	mobile	5303.573058	16	8	sw
squareyards.com*	Saudi Arabia	mobile	18493.2524	16	9	sw
squareyards.com*	Saudi Arabia	mobile	14162.87001	16	10	sw
squareyards.com*	Saudi Arabia	mobile	7989.788407	16	11	sw
squareyards.com*	Saudi Arabia	mobile	62454.7905	16	12	sw
squareyards.com*	Saudi Arabia	mobile	125591.778	17	1	sw
squareyards.com*	Saudi Arabia	mobile	146584.4665	17	2	sw
squareyards.com*	Saudi Arabia	mobile	199312.5428	17	3	sw
squareyards.com*	Saudi Arabia	mobile	257394.717	17	4	sw
squareyards.com*	Saudi Arabia	mobile	311536.8043	17	5	sw
squareyards.com*	Saudi Arabia	mobile	69977.54726	17	6	sw
squareyards.com*	Saudi Arabia	mobile	2712	16	7	ga
squareyards.com*	Saudi Arabia	mobile	1388	16	8	ga
squareyards.com*	Saudi Arabia	mobile	3939	16	9	ga
squareyards.com*	Saudi Arabia	mobile	2455	16	10	ga
squareyards.com*	Saudi Arabia	mobile	1253	16	11	ga
squareyards.com*	Saudi Arabia	mobile	9518	16	12	ga
squareyards.com*	Saudi Arabia	mobile	94924	17	1	ga
squareyards.com*	Saudi Arabia	mobile	115102	17	2	ga
squareyards.com*	Saudi Arabia	mobile	144871	17	3	ga
squareyards.com*	Saudi Arabia	mobile	134170	17	4	ga
squareyards.com*	Saudi Arabia	mobile	292553	17	5	ga
squareyards.com*	Saudi Arabia	mobile	13386	17	6	ga
squareyards.com*	United Arab Emirates	desktop	14651.99657	16	7	sw
squareyards.com*	United Arab Emirates	desktop	5957.623946	16	8	sw
squareyards.com*	United Arab Emirates	desktop	89105.17955	16	9	sw
squareyards.com*	United Arab Emirates	desktop	212394.6759	16	10	sw
squareyards.com*	United Arab Emirates	desktop	45649.97922	16	11	sw
squareyards.com*	United Arab Emirates	desktop	11382.27355	16	12	sw
squareyards.com*	United Arab Emirates	desktop	10662.8532	17	1	sw
squareyards.com*	United Arab Emirates	desktop	8389.302472	17	2	sw
squareyards.com*	United Arab Emirates	desktop	7968.802042	17	3	sw
squareyards.com*	United Arab Emirates	desktop	11540.38179	17	4	sw
squareyards.com*	United Arab Emirates	desktop	7758.57627	17	5	sw
squareyards.com*	United Arab Emirates	desktop	15569.42159	17	6	sw
squareyards.com*	United Arab Emirates	desktop	19484	16	7	ga
squareyards.com*	United Arab Emirates	desktop	19713	16	8	ga
squareyards.com*	United Arab Emirates	desktop	132549	16	9	ga
squareyards.com*	United Arab Emirates	desktop	338136	16	10	ga
squareyards.com*	United Arab Emirates	desktop	91757	16	11	ga
squareyards.com*	United Arab Emirates	desktop	11285	16	12	ga
squareyards.com*	United Arab Emirates	desktop	27707	17	1	ga
squareyards.com*	United Arab Emirates	desktop	23395	17	2	ga
squareyards.com*	United Arab Emirates	desktop	22479	17	3	ga
squareyards.com*	United Arab Emirates	desktop	27981	17	4	ga
squareyards.com*	United Arab Emirates	desktop	37441	17	5	ga
squareyards.com*	United Arab Emirates	desktop	31594	17	6	ga
squareyards.com*	United Arab Emirates	mobile	93043.92098	16	7	sw
squareyards.com*	United Arab Emirates	mobile	45266.61659	16	8	sw
squareyards.com*	United Arab Emirates	mobile	28286.9274	16	9	sw
squareyards.com*	United Arab Emirates	mobile	35535.4384	16	10	sw
squareyards.com*	United Arab Emirates	mobile	27790.36085	16	11	sw
squareyards.com*	United Arab Emirates	mobile	27429.91397	16	12	sw
squareyards.com*	United Arab Emirates	mobile	62017.09771	17	1	sw
squareyards.com*	United Arab Emirates	mobile	51415.93482	17	2	sw
squareyards.com*	United Arab Emirates	mobile	151649.6536	17	3	sw
squareyards.com*	United Arab Emirates	mobile	119187.1996	17	4	sw
squareyards.com*	United Arab Emirates	mobile	49685.20286	17	5	sw
squareyards.com*	United Arab Emirates	mobile	254349.7737	17	6	sw
squareyards.com*	United Arab Emirates	mobile	49139	16	7	ga
squareyards.com*	United Arab Emirates	mobile	34692	16	8	ga
squareyards.com*	United Arab Emirates	mobile	16264	16	9	ga
squareyards.com*	United Arab Emirates	mobile	25723	16	10	ga
squareyards.com*	United Arab Emirates	mobile	16505	16	11	ga
squareyards.com*	United Arab Emirates	mobile	12540	16	12	ga
squareyards.com*	United Arab Emirates	mobile	32588	17	1	ga
squareyards.com*	United Arab Emirates	mobile	25811	17	2	ga
squareyards.com*	United Arab Emirates	mobile	115747	17	3	ga
squareyards.com*	United Arab Emirates	mobile	38972	17	4	ga
squareyards.com*	United Arab Emirates	mobile	56372	17	5	ga
squareyards.com*	United Arab Emirates	mobile	234212	17	6	ga
